key,id,value,language
1,DE1CLNT100,DE1(100),en
2,DE1CLNT200,DE1(200),en
3,QE1CLNT100,QE1(100),en
4,AE1CLNT100,AE1(100),en
5,EE1CLNT100,EE1(100),en
6,EE1CLNT200,EE1(200),en
7,DE2CLNT100,DE2(100),en
8,DE2CLNT200,DE2(200),en
9,QE2CLNT100,QE2(100),en
10,AE2CLNT100,AE2(100),en
11,EE2CLNT100,EE2(100),en
12,EE2CLNT200,EE2(200),en
13,DE3CLNT100,DE3(100),en
14,DE3CLNT200,DE3(200),en
15,QE3CLNT100,QE3(100),en
16,AE3CLNT100,AE3(100),en
17,EE3CLNT100,EE3(100),en
18,EE3CLNT200,EE3(200),en
19,DE8CLNT100,DE8(100),en
20,DE8CLNT200,DE8(200),en
21,QE8CLNT100,QE8(100),en
22,AE8CLNT100,AE8(100),en
23,EE8CLNT100,EE8(100),en
24,EE8CLNT200,EE8(200),en
25,DE9CLNT100,DE9(100),en
26,DE9CLNT200,DE9(200),en
27,QE9CLNT100,QE9(100),en
28,AE9CLNT100,AE9(100),en
29,EE9CLNT100,EE9(100),en
30,EE9CLNT200,EE9(200),en
31,DG3CLNT100,DG3(100),en
32,DG3CLNT200,DG3(200),en
33,AG3CLNT100,AG3(100),en
34,DM4CLNT100,DM4(200),en
35,DM4CLNT200,DM4(100),en
36,QM4CLNT100,QM4(100),en
37,AM4CLNT100,AM4(100),en
38,EM4CLNT010,EM4(100),en
39,EM4CLNT200,EB1(020),en
40,DY1CLNT001,DY1(001),en
41,QY1CLNT001,QY1(001),en
42,AY1CLNT001,AY1(001),en
43,EY1CLNT001,EY1(001),en
44,DB1CLNT010,DB1(010),en
45,DB2CLNT010,DB2(010),en
46,DB9CLNT010,DB9(010),en
47,DB5CLNT010,DB5(010),en
48,QB1CLNT010,QB1(010),en
49,QB2CLNT010,QB2(010),en
50,QB9CLNT010,QB9(010),en
51,QB5CLNT010,QB5(010),en
52,EB1CLNT010,EB1(010),en
53,EB2CLNT010,EB2(010),en
54,EB5CLNT010,EB5(010),en
55,AB1CLNT010,AB1(010),en
56,AB2CLNT010,AB2(010),en
57,AB5CLNT010,AB5(010),en
